01, 496151368
02, 463845766
03, 134762611
04, 84009607
05, 37806417
06, 104247353
07, 125900946
08, 490731147
09, 446546251
10, 509856256
11, 481255075
12, 446822192
13, 296469941
14, 161431297
15, 530334973
16, 307923943
17, 92468009
18, 197993180
19, 31972411
20, 360431080
21, 263333362
22, 334367918
23, 530636694
24, 39482269
25, 313997393
26, 360461943
27, 270522788
28, 530241448
29, 448386950
30, 464150771
31, 409216747
32, 173955911
33, 390029765
34, 68558648
35, 532436264
36, 416878997
37, 199207868
38, 228573058
39, 434167728
40, 412794426
41, 21020829
42, 434582828
43, 4201451
44, 103742575
45, 128523757
46, 477200773
47, 330611200
48, 471626578
49, 215592072
50, 252644049
51, 496151368
52, 463845766
53, 134762611
54, 84009607
55, 37806417
56, 104247353
57, 125900946
58, 490731147
59, 446546251
60, 58049312
61, 428377964
62, 22873504
63, 378281323
64, 6473017
65, 494244269
66, 154550285
67, 195275267
68, 152485663
69, 12017519
70, 277966133
71, 463686253
72, 140419236
73, 89036748
74, 325325635
75, 331012956
76, 496296943
77, 459688599
78, 507990631
79, 380804412
80, 74978940
81, 379360816
82, 179027581
83, 494427498
84, 160523681
85, 254335350
86, 233138597
87, 92970794
88, 389166878
89, 531046176
90, 85784021
91, 460211717
92, 509758127
93, 268937960
94, 230497933
95, 266139170
96, 84296487
97, 373787582
98, 37419916
99, 469326042
00, 401627259
